No.,Time,Source,Destination,Protocol,Length,Time,Info,,,,site
,,,,,,,,,,,
,,,,,,,,,,,
69,41.992765,192.168.122.72,192.168.122.1,DNS,84,,Standard,query,0x2332,A,Myshopify.com
70,41.992827,192.168.122.72,192.168.122.1,DNS,84,,Standard,query,0x9055,AAAA,Myshopify.com
71,42.005269,192.168.122.1,192.168.122.72,DNS,100,0.012504,Standard,query,response,0x2332,A
72,42.008242,192.168.122.1,192.168.122.72,DNS,84,0.015415,Standard,query,response,0x9055,AAAA
75,42.023157,192.168.122.72,192.168.122.1,DNS,96,,Standard,query,0xf56c,PTR,32.38.227.23.in-addr.arpa
76,42.039585,192.168.122.1,192.168.122.72,DNS,123,0.016428,Standard,query,response,0xf56c,PTR
77,42.051989,192.168.122.72,192.168.122.1,DNS,84,,Standard,query,0x6406,A,Myshopify.com
78,42.052878,192.168.122.72,192.168.122.1,DNS,84,,Standard,query,0xc0b1,AAAA,Myshopify.com
79,42.05303,192.168.122.1,192.168.122.72,DNS,100,0.001041,Standard,query,response,0x6406,A
80,42.053773,192.168.122.1,192.168.122.72,DNS,84,0.000895,Standard,query,response,0xc0b1,AAAA
83,42.067613,192.168.122.72,192.168.122.1,DNS,96,,Standard,query,0x89a2,PTR,32.38.227.23.in-addr.arpa
84,42.068528,192.168.122.1,192.168.122.72,DNS,123,0.000915,Standard,query,response,0x89a2,PTR
85,42.083083,192.168.122.72,192.168.122.1,DNS,84,,Standard,query,0x0612,A,Myshopify.com
86,42.084191,192.168.122.72,192.168.122.1,DNS,84,,Standard,query,0xa581,AAAA,Myshopify.com
87,42.08687,192.168.122.1,192.168.122.72,DNS,100,0.003787,Standard,query,response,0x0612,A
88,42.087187,192.168.122.1,192.168.122.72,DNS,84,0.002996,Standard,query,response,0xa581,AAAA
91,42.10737,192.168.122.72,192.168.122.1,DNS,96,,Standard,query,0x910f,PTR,32.38.227.23.in-addr.arpa
92,42.109017,192.168.122.1,192.168.122.72,DNS,123,0.001647,Standard,query,response,0x910f,PTR
93,42.133615,192.168.122.72,192.168.122.1,DNS,84,,Standard,query,0xbbe3,A,Myshopify.com
94,42.133795,192.168.122.72,192.168.122.1,DNS,84,,Standard,query,0xf9d3,AAAA,Myshopify.com
95,42.134716,192.168.122.1,192.168.122.72,DNS,100,0.001101,Standard,query,response,0xbbe3,A
96,42.134999,192.168.122.1,192.168.122.72,DNS,84,0.001204,Standard,query,response,0xf9d3,AAAA
99,42.150174,192.168.122.72,192.168.122.1,DNS,96,,Standard,query,0xe47b,PTR,32.38.227.23.in-addr.arpa
100,42.151026,192.168.122.1,192.168.122.72,DNS,123,0.000852,Standard,query,response,0xe47b,PTR
101,42.162306,192.168.122.72,192.168.122.1,DNS,84,,Standard,query,0xae74,A,Myshopify.com
102,42.162346,192.168.122.72,192.168.122.1,DNS,84,,Standard,query,0xf29d,AAAA,Myshopify.com
103,42.163251,192.168.122.1,192.168.122.72,DNS,100,0.000945,Standard,query,response,0xae74,A
104,42.163651,192.168.122.1,192.168.122.72,DNS,84,0.001305,Standard,query,response,0xf29d,AAAA
107,42.178464,192.168.122.72,192.168.122.1,DNS,96,,Standard,query,0x0328,PTR,32.38.227.23.in-addr.arpa
108,42.179241,192.168.122.1,192.168.122.72,DNS,123,0.000777,Standard,query,response,0x0328,PTR
